Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
77450.71229516849,7.798710873172004,4.987232587538427,4,28762.673199002435,268451.29852894566
67926.03548243223,6.849267365825538,5.783221993926723,2,34578.05609925785,246130.6898002116
79715.32807151039,5.119260739840349,4.811370118500058,1,25030.679748820217,256023.61819778723
92845.44784612038,3.706126444588852,5.53805770554144,2,28174.31025620459,267654.5197592351
66487.69937914996,6.39644662722718,3.1595779995693216,5,20100.42207447986,232438.18568068056
66487.94564576229,5.786970770843499,6.319940561059408,2,29649.92389993764,268391.4204118784
93688.19223261088,6.790386440055465,6.001808213043336,4,21889.991363711553,300598.4233723415
81511.52093729364,6.270343603363939,4.7743670533977145,1,18859.535498380064,265724.6241305477
62957.88421097572,7.09910543063867,6.988868502648607,4,32586.61147855388,263618.0913715311
78138.40065378947,3.9295295768788643,7.406355206439837,1,32127.397758576604,260443.96205928564
63048.734607813065,7.634788131268651,3.5886602034465387,5,37828.737349485724,263354.62519113015
63014.05369644615,5.395199209384799,4.855912832150679,1,25688.74430424901,224836.30208921395
73629.43407349051,9.150521745250531,4.846286475319053,1,34080.528468367556,294855.6993384047
41300.79633013303,3.6216243638208643,4.590145348336703,1,35507.975722736635,201400.2526931957
44126.23251230451,8.4719276063305,7.244212262897623,2,34447.738078315946,262480.80111430073
61565.68706138541,5.395821566925296,5.709260791840794,2,21743.46317197858,230574.04794729137
54807.53319498364,3.6971639927711033,5.603227738034084,5,31493.63482271189,232220.74938716964
74713.70998892911,4.032228331891357,2.99420645338987,1,33641.40296054661,259195.97326418123
56379.638867181835,4.3593053836113596,6.95312704531384,3,30071.784669079418,228918.75014875314
48815.444479970625,5.848331892803833,4.141112407719791,5,9135.223416289155,176272.26751250774
91984.7315338233,6.0456709760709995,6.089898945399493,1,31604.8962397348,297553.9304210761
66613.35549270196,3.852599992122842,6.416065406937287,1,52125.310393972424,269754.1807115172
71012.92307031885,4.951290815478035,8.040987893757976,2,26399.607312430173,269856.05453827424
48628.77720679815,9.284540717223727,4.036769401321331,5,22719.229021446787,243578.6976424824
61834.25913212226,8.455086340201422,1.470731766268762,1,33733.485597113984,249467.1184470295
71663.83884564799,5.872647339348064,6.2757743171305425,1,33123.78210466572,262135.5102454256
52735.09633866546,5.076006956336401,8.700766772266281,5,41927.351654164144,279405.4254757383
75635.47027518509,5.240062653436523,7.858419529409156,3,17421.31844091112,247411.09664369604
60990.419651217926,6.227035945460833,6.314489122911938,5,37313.802525749925,268539.37139619095
65624.59375310085,2.954414869603189,5.262545721551929,5,35904.22061251463,257755.72833470738
60974.40081655905,4.48524692515331,7.210683894955966,3,28578.53463059454,229962.8608057231
97784.17276763407,1.662831852244821,4.539680700443297,5,33386.8731792169,268132.38827487954
69797.541628931,5.798446245210559,6.714536654034329,1,40294.57481598357,286365.6693137431
54134.3360656615,6.294391879405482,6.75820523874994,5,38723.153800284505,254069.4055826951
82338.17368154784,4.033627075401252,7.59031486124832,3,18569.806879262713,252737.32435516058
51687.345250434664,8.147973526580065,10.139490058366617,4,38201.58186755484,287560.29041359096
73132.95392507133,2.5484686739953175,6.5886239507681506,5,29353.113949674815,250061.29308909056
40604.94814180337,2.0712502395803596,5.236554561438751,2,30728.740980155155,165633.66925682293
50077.20926652354,5.448903637119944,5.961638531712008,1,30731.969910016946,230804.67306806726
72952.91853803686,7.094196605224309,3.3463861426663226,1,28497.5701120174,268156.74545961194
81076.99869993115,8.367855382915737,4.957930303366412,2,41917.07497107065,328532.2185943555
72570.52421784955,4.0822314742621195,5.386076342830344,2,29162.82040150788,243447.29006894404
68265.27576417639,7.157361666862592,5.213867403098111,5,18804.538716168314,250336.93533342067
65483.444566160666,4.922983060998585,6.228532308050583,2,26064.701440302713,230962.86611673675
47822.17014448859,4.654745400118361,4.766370101426699,4,31786.947168104754,232396.80096943057
59202.33687407937,6.767319874973345,7.681546000986707,3,42292.1478429705,281473.7775500506
63090.41843560319,6.304645756826839,6.000310597377296,2,36030.94684948833,255374.87117183636
85856.83339328374,1.8472156860315012,5.986049518292078,2,21494.647212529562,232830.63831708842
75154.27434352692,7.9530806994517915,5.508157925230623,4,54851.89916678892,333545.43843767437
43554.397669558995,7.760182708294903,6.232786025788469,1,32647.7531097798,232892.2249611282
74861.25954092192,3.748874596980941,7.237647397001452,1,42753.90737999015,260040.6444044822
64223.76579375525,5.791607066874818,4.699304676433649,5,28482.855664227707,244884.85567539954
59846.169995410615,5.988060372565478,5.012825266387115,4,35333.59244705449,256554.01970585034
79175.14433261301,5.521347531647814,5.544410956835003,3,38394.685045184044,289918.53396654775
85464.99283743926,3.8993896923091595,3.9811936147901776,3,42181.94711754256,289974.31093128136
83969.20178674298,3.656753264123897,4.771113210417753,4,40573.68305378225,284793.2467176647
57411.73715166042,4.9488918580171095,5.285668689683011,3,38721.97000072978,246570.08556200453
65361.81436223178,7.345458038518729,7.311583771069092,1,26849.132688058915,262771.529396201
74968.95147105346,6.087200309188865,6.393841993502887,3,24282.539580439385,267961.29411601386
84633.17690683539,4.258771335827788,6.2903848670513165,3,33326.07510324198,289367.2548895572
62812.38643232065,6.54339742129669,7.2763469432519585,4,39331.280723410695,287959.99201936106
67215.11535004275,-0.6970852412601509,5.793942317400905,4,27772.792992233928,185675.80964183089
53404.97538990958,7.297531400744207,6.5856972748933345,3,40651.71965714387,266386.04277020536
52056.90063878994,1.5205724424438007,5.8451673706012555,2,44526.167454861796,203117.19450123055
82187.88733591296,4.275118117193736,6.398043524099442,4,20836.790809265804,258359.50813527085
90343.60042856235,2.7606602107477123,5.125862013582627,5,21630.7929620372,252792.68397870375
68919.848176295,2.4106370485581885,2.341774262585356,5,28596.249410946635,217161.14813591103
85052.99346838036,7.321653574757039,5.798581256720544,1,33076.12668189196,297654.59113400703
75424.54037571451,4.064597597376217,8.13412220414991,3,24754.32986232949,267031.40474166
60323.203680923136,5.693007763461432,7.389323103362388,2,43522.02678867144,272564.36730430566
75420.9340826262,4.906158842241632,7.448096226886756,1,34240.66861518451,280467.5002832305
93070.54849698953,5.954081654446243,7.854196082709327,3,30394.470482407396,307819.13171841274
69462.60941335073,5.15364378212051,6.132986386442156,4,15640.904761314725,223593.58574927805
93469.6548372101,2.4340155516228608,6.295973561108394,5,16841.84183572493,250633.4923222132
30703.82343865383,6.99253363889428,5.073522156848474,2,32810.092502818065,217065.22852364197
82328.53756562836,4.012486833677375,5.5258907159594255,5,8674.043738451637,227164.94333458593
71305.70602357257,1.886836202680498,6.923656724656713,4,40126.37409644072,253510.73709889082
65514.88974301199,4.143769678068175,7.805826655753224,3,28418.461556276798,244197.15696935114
71376.41164803253,8.00151958126862,5.790830586478501,4,62430.92969594733,376779.54553772655
40186.46628098661,6.7004434842269855,5.324716102722883,4,53079.162506161105,283908.60624164814
66704.92168243731,4.302695731184282,6.0007919382848955,5,28185.509307524833,251687.58709182806
75356.6885726762,4.301484591363143,6.901810123393672,2,28936.62997468685,255550.18092102167
92168.41067112274,4.356729897565235,3.8342177757996874,4,39955.8151400203,302974.20614734216
62225.94672589529,9.153495967121682,2.555728570294143,5,47031.72609918038,311895.9225738057
57872.595956602185,5.763870904463107,5.174194725762625,2,13619.709425639832,203820.0429873675
62473.64434623195,5.8600832943821395,4.168931361128762,3,12136.245346453135,203392.80370906027
83731.03176553111,7.060566908063684,5.2377897035290335,3,23779.651944456185,278141.2957588642
74931.26664489527,5.477578318053027,5.778329521773792,1,35827.375831738646,239014.82506143887
62053.59694349442,4.481915708358594,5.3201273864654794,5,34968.73590507597,251543.66963428335
77699.01149670035,4.607300301830043,8.178701301706118,2,40697.7145498385,286025.6950704549
71456.1632402206,4.856797481171872,6.49011714690348,4,18003.024716346918,252135.5548220897
84529.67485799333,4.925555526980316,6.450711539416242,3,6838.561370311232,231174.18870261437
59469.203591839716,6.4552590872739595,6.933310716065103,2,38580.141953021455,259693.59955151795
65085.067801033474,5.103891771614599,4.291750323328847,5,21718.037270347653,228062.54403375456
64118.377703017635,6.465280154431158,7.558667681130403,1,9815.121356113621,210792.73836609226
48047.27577801822,4.838566839782835,5.88635357019681,3,31450.637459593818,226523.69899215206
74441.80415596864,5.157270380632181,7.005720925861819,2,37931.756882186775,283037.0020773522
73915.82908269834,1.0035986309357847,4.3922141504397665,2,28779.428678787226,216008.05435426132
70076.70184963691,6.832655349404963,3.6693618509759034,2,25421.51613817511,240722.62988278907
66481.1929993728,5.692976951795986,7.226834487037543,5,28406.377678540935,264938.56777157006
48769.438869243786,6.996020219719305,6.564614289146275,5,26294.172375992173,229875.55874450813
63690.320158519615,-0.7925107563873786,4.646922668463734,5,16519.52888059833,165898.99159666811
64859.282252098456,9.176749409561456,4.695505378087958,4,22853.193230095683,275429.0426287947
57965.84096167571,4.720820743689653,7.688152176622154,2,35212.79905013814,253981.37807307288
67580.71432500986,7.216365633475033,4.2158821606990085,3,33216.785413765,270063.89976685954
76060.76285221807,2.9201881457489383,8.464009429883944,5,31680.598059668202,268121.99791246053
98292.78851815795,6.225547810125139,4.649068898028197,5,20048.515181466206,304080.4268146477
72618.66719247759,2.8931688736526877,6.957587888412575,2,28184.968378643327,232166.62315417264
73863.25586084147,3.7524620786083895,5.507072286376523,5,8229.349535571451,208700.01691747247
68883.3112635075,8.828062707733572,6.904781146623515,4,31784.766638853896,290837.7699916082
41218.43177051438,4.6186351984733065,5.183828996828711,4,44288.57707813567,225827.6891649362
69602.29186826175,5.434865746359446,5.755810640891559,5,15258.678679578943,234026.6387605358
70903.45314911539,6.740135461377508,6.061378763093582,2,24140.723266822446,269384.21015358006
106948.6316872793,5.991363775945209,4.496718816327791,2,33291.067787101296,312839.50670369685
67114.58552828316,5.3008378102871525,7.111236518130189,2,42528.426344274834,277934.12638137565
74523.21013500419,5.729922004932451,5.230179650292622,1,25517.753836998505,245201.58873224718
69479.32345442135,9.80683117047655,5.657100126989972,5,23077.496707341037,286380.22422758624
52469.82943570702,4.884762405932829,4.508475938087232,2,10310.768575839167,179665.99961209152
87142.34221772531,5.402198093429935,2.1564995118070343,4,31034.381293081064,254614.17795429815
81278.9954903016,7.1013087920152245,5.713458356099746,3,50420.76040143744,344149.7895056455
81865.47920564571,7.211051865915968,9.618923132419374,3,32773.58461964676,310896.299387724
56359.18817807891,7.37406061112076,7.176906431847035,2,29777.210208162865,266937.3758082683
91041.91466404148,6.277460444058369,5.971109430398408,3,33220.82310766986,291934.68383003894
48972.23405811579,2.713990174539033,5.605663756187599,3,29889.07996051398,204093.13283999212
78802.85640700406,8.266863064602191,6.0336988392180695,1,21869.8562773987,284500.56808556075
